lr-SGD,step,loss_step,top1_step,top5_step,epoch,val_top1,loss_epoch,top1_epoch,top5_epoch
0.10000001,5899,,,,,,,,
,5899,0.4201609492301941,83.59375,100.0,15,,,,
0.10000001,5949,,,,,,,,
,5949,0.4640845060348511,85.9375,99.21875,15,,,,
0.10000001,5999,,,,,,,,
,5999,0.46047303080558777,85.15625,99.21875,15,,,,
0.10000001,6049,,,,,,,,
,6049,0.4705235958099365,83.59375,99.21875,15,,,,
0.10000001,6099,,,,,,,,
,6099,0.5721354484558105,83.59375,97.65625,15,,,,
0.10000001,6149,,,,,,,,
,6149,0.45043259859085083,85.15625,100.0,15,,,,
0.10000001,6199,,,,,,,,
,6199,0.29375118017196655,89.84375,100.0,15,,,,
,6239,,,,15,75.27043151855469,,,
,6239,,,,15,,0.48881468176841736,83.83814239501953,99.07451629638672
0.10000001,6249,,,,,,,,
,6249,0.5700055360794067,82.8125,99.21875,16,,,,
0.10000001,6299,,,,,,,,
,6299,0.4333953261375427,86.71875,100.0,16,,,,
0.10000001,6349,,,,,,,,
,6349,0.5050119161605835,82.8125,100.0,16,,,,
0.10000001,6399,,,,,,,,
,6399,0.46690282225608826,87.5,99.21875,16,,,,
0.10000001,6449,,,,,,,,
,6449,0.5513244271278381,82.8125,98.4375,16,,,,
0.10000001,6499,,,,,,,,
,6499,0.4981688857078552,84.375,99.21875,16,,,,
0.10000001,6549,,,,,,,,
,6549,0.5140719413757324,81.25,97.65625,16,,,,
0.10000001,6599,,,,,,,,
,6599,0.3896760940551758,89.0625,98.4375,16,,,,
,6629,,,,16,81.53044891357422,,,
,6629,,,,16,,0.4751732349395752,84.12459564208984,99.18870544433594
0.10000001,6649,,,,,,,,
,6649,0.5960752964019775,82.03125,99.21875,17,,,,
0.10000001,6699,,,,,,,,
,6699,0.4222104549407959,88.28125,98.4375,17,,,,
0.10000001,6749,,,,,,,,
,6749,0.5168166756629944,82.8125,100.0,17,,,,
0.10000001,6799,,,,,,,,
,6799,0.3611017167568207,86.71875,100.0,17,,,,
0.10000001,6849,,,,,,,,
,6849,0.6018612384796143,80.46875,96.875,17,,,,
0.10000001,6899,,,,,,,,
,6899,0.662615954875946,78.90625,97.65625,17,,,,
0.10000001,6949,,,,,,,,
,6949,0.38686424493789673,84.375,100.0,17,,,,
0.10000001,6999,,,,,,,,
,6999,0.6833701729774475,75.0,97.65625,17,,,,
,7019,,,,17,77.05328369140625,,,
,7019,,,,17,,0.4728224277496338,84.27083587646484,99.0965576171875
0.10000001,7049,,,,,,,,
,7049,0.4639398753643036,83.59375,97.65625,18,,,,
0.10000001,7099,,,,,,,,
,7099,0.437905490398407,85.15625,98.4375,18,,,,
0.10000001,7149,,,,,,,,
,7149,0.5031324625015259,85.15625,100.0,18,,,,
0.10000001,7199,,,,,,,,
,7199,0.45384669303894043,85.15625,99.21875,18,,,,
0.10000001,7249,,,,,,,,
,7249,0.36207571625709534,87.5,99.21875,18,,,,
0.10000001,7299,,,,,,,,
,7299,0.6347248554229736,78.90625,98.4375,18,,,,
0.10000001,7349,,,,,,,,
,7349,0.5729522705078125,80.46875,98.4375,18,,,,
0.10000001,7399,,,,,,,,
,7399,0.5050689578056335,85.9375,99.21875,18,,,,
,7409,,,,18,81.16986846923828,,,
,7409,,,,18,,0.4660763144493103,84.65945434570312,99.12860870361328
0.10000001,7449,,,,,,,,
,7449,0.5257095694541931,84.375,98.4375,19,,,,
0.10000001,7499,,,,,,,,
